crowd_density_norm,facial_discomfort_prob,audio_overload_score,physio_stress_prob,visual_confusion_prob,overload_probability,overload_level,crowd_weight,face_weight,audio_weight,physio_weight
0.0599153694381407,0.46002078,0.5249618748515786,0.6884120792312154,0.9960068464279176,,High,,,,
0.0599153694381407,0.46002078,0.6061470301559895,0.5836916755321553,0.9959976077079772,,High,,,,
0.0599153694381407,0.46002078,0.5076865213482961,0.5383391619375311,0.9959899187088012,,High,,,,
0.0599153694381407,0.46002078,0.5947846561968616,0.5973780593510171,0.9959783554077148,,High,,,,
0.0599153694381407,0.46002078,0.6063236936428894,0.4580491746809911,0.995971143245697,,High,,,,
0.0599153694381407,0.46002078,0.5314446065225639,0.0224090900068432,0.995962619781494,,High,,,,
0.0599153694381407,0.46002078,0.6763287588558569,0.0252415213939789,0.9959612488746644,,High,,,,
0.0599153694381407,0.46002078,0.8681609294682687,0.1477352949854069,0.9959628582000732,,High,,,,
0.0599153694381407,0.46002078,0.6182746035773163,0.0380885163872916,0.9959605932235718,,High,,,,
0.0599153694381407,0.46002078,0.5664821804326492,0.0139014072992452,0.9959605932235718,,High,,,,
0.0599153694381407,0.46002078,0.3868889817389572,0.0263764225425068,0.9959545135498048,,High,,,,
0.0599153694381407,0.46002078,0.5033522373203595,0.0116784376556106,0.995954155921936,,High,,,,
0.0599153694381407,0.46002078,0.9570864919623092,0.0481834477652473,0.9959561228752136,,High,,,,
0.0599153694381407,0.46002078,0.9601750194408168,0.0204023497606679,0.9959503412246704,,High,,,,
0.0599153694381407,0.46002078,0.4832134724174921,0.0343369933089239,0.9959489107131958,,High,,,,
0.0599153694381407,0.46002078,0.4982442769443112,0.023444575031103,0.9959498047828674,,High,,,,
0.0599153694381407,0.46002078,0.6497219126038544,0.2062094433277928,0.995944619178772,,High,,,,
0.0599153694381407,0.46002078,0.5766390693642962,0.3675643448445632,0.9959349632263184,,High,,,,
0.0599153694381407,0.46002078,0.4993670297574574,0.100007930496848,0.9959266781806946,,High,,,,
0.0599153694381407,0.46002078,0.4608878314149477,0.0365949659667288,0.9959187507629396,,High,,,,
0.0599153694381407,0.46002078,0.449803168647486,0.0609467549479479,0.9959093928337096,,High,,,,
0.0599153694381407,0.46002078,0.4995779616604,0.0342379119685459,0.9959060549736024,,High,,,,
0.0599153694381407,0.46002078,0.4695689501191907,0.0354251925476433,0.9959006905555724,,High,,,,
0.0599153694381407,0.46002078,0.6497618418161664,0.2966597656500399,0.9958969354629515,,High,,,,
0.0599153694381407,0.46002078,0.6895292356350182,0.0150217251595349,0.995896577835083,,High,,,,
0.0599153694381407,0.46002078,0.6563450597246061,0.0173256226823741,0.9958913922309875,,High,,,,
0.0599153694381407,0.46002078,0.6127986796209826,0.0138204992678943,0.9958890080451964,,High,,,,
0.0599153694381407,0.46002078,0.6976962783489911,0.0514054616462322,0.9958874583244324,,High,,,,
0.0599153694381407,0.46002078,0.5393747164842353,0.0190670511719641,0.995886206626892,,High,,,,
0.0599153694381407,0.46002078,0.5439935449279801,0.0102607140637384,0.9958817958831788,,High,,,,
0.0599153694381407,0.46002078,0.648359520196391,0.011561380452887,0.9958840012550354,,High,,,,
0.0575843645253632,0.46002078,0.5654963414303894,0.0115624226753788,0.9958873987197876,,High,,,,
0.0534403557915365,0.46002078,0.4775370583311541,0.0081511242895064,0.9958937764167786,,High,,,,
0.0413536806647502,0.46002078,0.5399800806379063,0.0072674292413379,0.9958946108818054,,High,,,,
0.02892167487952,0.46002078,0.5468235442320918,0.0203112958940212,0.9959015250205994,,High,,,,
0.0178710070402528,0.46002078,0.5532904904953285,0.0246143846003163,0.9959034323692322,,High,,,,
0.0131226722061805,0.46002078,0.5677344196779472,0.0134696046153148,0.995907187461853,,High,,,,
0.0118276745809221,0.46002078,0.5952143446352238,0.0670018638176527,0.9959113597869872,,High,,,,
0.0118276745809221,0.46002078,0.5030160777258288,0.0141828387337479,0.9959174394607544,,High,,,,
0.0135543431853291,0.46002078,0.6099909357762954,0.0643163317701191,0.9959255456924438,,High,,,,
0.0164033542938974,0.46002078,0.540148445156774,0.0571270577576906,0.995940327644348,,High,,,,
0.0212380192405494,0.46002078,0.5139305153243184,0.0099489298632949,0.9959464073181152,,High,,,,
0.0212380192405494,0.46002078,0.6635646062481102,0.0250493654654328,0.9959595203399658,,High,,,,
0.0202020170570928,0.46002078,0.6754058696844595,0.0140194523479196,0.9959757924079896,,High,,,,
0.0219286856614997,0.46002078,0.5458568188754725,0.0222789557663263,0.996004045009613,,High,,,,
0.0246913564493634,0.46002078,0.667487686756067,0.0209422226563412,0.9960250854492188,,High,,,,
0.0246913564493634,0.46002078,0.5765628093788111,0.0221925198806487,0.9960405230522156,,High,,,,
0.0199430165112286,0.46002078,0.5485244385430633,0.0090250433283065,0.9960623383522034,,High,,,,
0.0191660148736361,0.46002078,0.6235612867236342,0.0125207789897458,0.9961000680923462,,High,,,,
0.0199430165112286,0.46002078,0.5384219516934536,0.0379932333701792,0.9961377382278442,,High,,,,
0.0199430165112286,0.46002078,0.5633764031917962,0.0120959253663089,0.9961612224578856,,High,,,,
0.0213243544571917,0.46002078,0.53065425622965,0.0104132071152778,0.996178925037384,,High,,,,
0.020633672724054,0.46002078,0.5471488447772572,0.0077128350218455,0.9962217211723328,,High,,,,
0.0185616683571406,0.46002078,0.5574809022960836,0.0102671370576033,0.9962584376335144,,High,,,,
0.0155400072315377,0.46002078,0.7089875398876415,0.0407579984712926,0.9962669014930724,,High,,,,
0.0155400072315377,0.46002078,0.5807152934229974,0.0313044620168796,0.9962806701660156,,High,,,,
0.019684010861302,0.46002078,0.5932761484495813,0.0232084370680257,0.9962868094444276,,High,,,,
0.0186480086778453,0.46002078,0.4485600870485541,0.010908194352653,0.9962116479873656,,High,,,,
0.0233963537200425,0.46002078,0.613350480665926,0.0090413804085933,0.9961764812469482,,High,,,,
0.0238280144910662,0.46002078,0.4640848385409299,0.0201275612864448,0.9961024522781372,,High,,,,
0.0272813619080051,0.46002078,0.4519225561667554,0.0280748338223604,0.9959561228752136,,High,,,,
0.0307346940127565,0.46002078,0.6251455144702049,0.0112984477320142,0.995913028717041,,High,,,,
0.0309936843504958,0.46002078,0.6319090120014152,0.0187065824965343,0.9958101511001588,,High,,,,
0.0309936843504958,0.46002078,0.664319649420213,0.0174727296677016,0.99576073884964,,High,,,,
0.0291806805294466,0.46002078,0.6308941902541845,0.0089716520674152,0.995741605758667,,High,,,,
0.0281446783459899,0.46002078,0.6180819226963649,0.0392207903079705,0.995763063430786,,High,,,,
0.0281446783459899,0.46002078,0.6344492193704355,0.0106973911868837,0.9957731366157532,,High,,,,
0.0240006798202882,0.46002078,0.6367778847110458,0.0068319347424372,0.9957842826843262,,High,,,,
0.0219286805574373,0.46002078,0.6514867515778862,0.0071910912335105,0.9958000779151917,,High,,,,
0.0189069939115221,0.46002078,0.5223807325420864,0.0061358319568865,0.9958229064941406,,High,,,,
0.0154536618067706,0.46002078,0.5895440788866836,0.0065678065368825,0.9958454966545104,,High,,,,
0.009841995222526,0.46002078,0.2280848188329969,0.0083300561955418,0.9958811402320862,,High,,,,
0.0106189968601185,0.46002078,0.4934049689891254,0.0088968065283661,0.9959123730659484,,High,,,,
0.0110506678392671,0.46002078,0.5150191396592081,0.0042790296620731,0.9959271550178528,,High,,,,
0.0093239941307977,0.46002078,0.5324139347399524,0.0054562085029074,0.9959247708320618,,High,,,,
0.0075973306304532,0.46002078,0.5285674039410775,0.0043884137484568,0.9959160089492798,,High,,,,
0.0041439985257017,0.46002078,0.4433903999371978,0.0037595307084432,0.9958980679512024,,High,,,,
0.0041439985257017,0.46002078,0.8439128188476226,0.0060165524940236,0.9958741068840028,,High,,,,
0.0028489983484121,0.46002078,0.4547149527784313,0.0061630822752141,0.995873212814331,,High,,,,
0.00077699653353,0.46002078,0.4979784846073422,0.0042431083968596,0.9958581924438475,,High,,,,
0.0063886707738683,0.46002078,0.7741357145981735,0.0057966137400015,0.9958471059799194,,High,,,,
0.0188206893192547,0.46002078,0.7538093823744474,0.0081881203859374,0.9958477020263672,,High,,,,
0.0356556992801133,0.46002078,0.4624562946646165,0.0061799175424607,0.9958487153053284,,High,,,,
