frame,crowd_density_norm,facial_discomfort_norm
0,0.06153846153846154,1.0
1,0.046153846153846156,1.0
2,0.2,0.0
3,0.1307692307692308,0.0
4,0.1307692307692308,0.5
5,0.07692307692307693,0.0
6,0.1076923076923077,0.5
6,0.1076923076923077,0.0
7,0.07692307692307693,0.0
8,0.11538461538461536,0.0
9,0.07692307692307693,0.0
10,0.1076923076923077,0.0
11,0.03076923076923077,0.0
12,0.0,1.0
13,0.09230769230769231,0.5
13,0.09230769230769231,0.0
14,0.0692307692307692,1.0
15,0.07692307692307693,0.3333333333333333
16,0.05384615384615382,0.0
17,0.13846153846153847,0.5
18,0.10000000000000003,0.0
19,0.03076923076923077,0.0
20,0.0076923076923077205,0.5
20,0.0076923076923077205,0.0
21,0.023076923076923106,0.5
22,0.046153846153846156,0.0
23,0.1076923076923077,0.3333333333333333
24,0.046153846153846156,0.0
25,0.11538461538461536,0.5
26,0.11538461538461536,0.3333333333333333
27,0.2538461538461538,0.3333333333333333
27,0.2538461538461538,0.0
28,0.22307692307692312,0.0
28,0.22307692307692312,0.0
29,0.28461538461538455,0.5
30,0.23846153846153845,0.5
31,0.23846153846153845,0.6666666666666666
32,0.2538461538461538,0.0
33,0.26153846153846155,0.5
33,0.26153846153846155,1.0
34,0.30769230769230765,0.5
35,0.22307692307692312,0.6666666666666666
36,0.14326923076923076,0.0
37,0.14326923076923076,0.0
38,0.1259615384615385,0.0
38,0.1259615384615385,0.0
39,0.13461538461538464,0.0
40,0.2557692307692308,0.6666666666666666
41,0.27307692307692305,0.6666666666666666
42,0.21249999999999997,1.0
43,0.16057692307692312,0.0
44,0.10989010989010994,0.0
45,0.13956043956043956,0.0
46,0.13956043956043956,0.0
47,0.18076923076923074,0.5
47,0.18076923076923074,1.0
48,0.16923076923076924,0.3333333333333333
49,0.06538461538461537,1.0
50,0.08846153846153842,0.0
51,0.05384615384615382,0.5
52,0.22692307692307695,0.0
52,0.22692307692307695,0.0
53,0.08846153846153842,0.3333333333333333
54,0.18076923076923074,0.3333333333333333
55,0.13461538461538464,0.3333333333333333
56,0.16923076923076924,0.0
57,0.13461538461538464,1.0
58,0.13461538461538464,0.3333333333333333
59,0.15769230769230763,1.0
60,0.16923076923076924,1.0
60,0.16923076923076924,0.0
61,0.08846153846153842,0.0
61,0.08846153846153842,0.0
62,0.042307692307692324,0.0
63,0.14615384615384613,0.6666666666666666
64,0.12307692307692303,0.5
65,0.13461538461538464,0.5
66,0.10000000000000003,0.0
66,0.10000000000000003,0.0
67,0.07692307692307693,0.0
68,0.11153846153846159,1.0
69,0.11153846153846159,0.0
70,0.16923076923076924,0.5
71,0.18307692307692308,0.0
72,0.14153846153846156,0.5
73,0.11384615384615387,1.0
73,0.11384615384615387,0.0
74,0.16923076923076924,0.0
75,0.1553846153846154,0.6666666666666666
76,0.23846153846153845,0.5
77,0.22461538461538472,0.3333333333333333
78,0.16923076923076924,0.3333333333333333
79,0.3215384615384615,0.5
79,0.3215384615384615,0.0
80,0.33538461538461545,1.0
81,0.40461538461538465,1.0
82,0.5569230769230769,0.0
83,0.5846153846153848,0.5
84,0.6953846153846155,0.3333333333333333
85,0.653846153846154,0.0
86,0.5984615384615384,0.0
87,0.5846153846153848,0.6666666666666666
88,0.5153846153846153,0.0
89,0.47384615384615386,0.0
90,0.46,0.5
91,0.5430769230769232,0.0
92,0.5015384615384617,0.0
93,0.47384615384615386,0.0
93,0.47384615384615386,0.0
94,0.4184615384615385,0.0
94,0.4184615384615385,0.0
95,0.2938461538461539,0.5
96,0.23846153846153845,0.0
96,0.23846153846153845,0.0
97,0.1553846153846154,0.0
98,0.19692307692307692,1.0
